claim_id,chapter,claim,source_cited,year,verified,venue_status,currency_note
S5-022,18,Canonical accessible ACT entry point,"Fong & Spivak (2019), Seven Sketches in Compositionality",2019,YES,"Cambridge University Press / arXiv 1803.05316, real",Stable. Still canonical entry June 2026.
S5-023,18,Physics of higher-order interactions requires simplicial complexes/hypergraphs,"Battiston et al. (2021), 'The physics of higher-order interactions'",2021,YES,"Nature Physics 17(10):1093-1098, Oct 2021. REAL. DOI 10.1038/s41567-021-01371-4.",Accurate. Foundational predecessor = Battiston et al. (2020) Physics Reports 'Networks beyond pairwise interactions.'
S5-024,18,Comprehensive math treatment of higher-order networks,"Bianconi (2021), Higher-Order Networks",2021,YES,"Cambridge University Press Elements, real",Stable.
S5-025,18,Compositional game theory,"Ghani et al. (2018)",2018,YES,"'Compositional Game Theory' LICS 2018, real",Stable.
S5-026,18,Categorical systems theory,"Myers (2022), Categorical Systems Theory",2022,YES,"Book draft widely circulated, real",Stable. Confirm final publication status if formal cite.
S5-027,18,Cross-domain isomorphisms physics/logic/topology/computation,"Baez & Stay (2011), 'Physics Topology Logic and Computation: A Rosetta Stone'",2011,YES,"In New Structures for Physics (Springer), real",Stable.
S5-028,19,Ostrom eight design principles for commons,"Ostrom (1990), Governing the Commons",1990,YES,Foundational; real,Stable.
S5-029,19,Commoning as social practice,"Bollier & Helfrich (2019), Free Fair and Alive",2019,YES,"New Society Publishers, real",Stable.
S5-030,19,Knowledge as a commons,"Hess & Ostrom (2007/2011), Understanding Knowledge as a Commons",2007,YES,"MIT Press, real",Stable.
S5-031,19,Commons within peer production / platform cooperativism,"Bauwens, Kostakis & Pazaitis (2019), Peer to Peer: The Commons Manifesto",2019,YES,"University of Westminster Press, real",Stable.
S5-032,20,Dissipative structures: order through fluctuation,"Prigogine",1977,YES,Foundational; real,Stable.
S5-033,20,Assembly Theory: physics-based complexity/life measure (assembly index),"Cronin & Walker (2023), 'Assembly theory explains and quantifies selection and evolution'",2023,YES,"Nature 622:321-328, 2023. REAL.",STILL CONTESTED (NOT resolved). Multiple 2024 critiques (Hazen et al. JME 2024; Zenil; arXiv 2408.15108 'reduced to Shannon entropy'). Nature found authors at fault for undisclosed competing interests during review. Templated-AT extension arXiv 2602.04889 (2026). Debate live June 2026.
S5-034,20,Complexity economics: economies as far-from-equilibrium adaptive systems,"Arthur (2021), 'Foundations of Complexity Economics'",2021,YES,"Nature Reviews Physics 3:136-145, 2021. REAL.",Stable.
S5-035,20,Adjacent possible / biosphere creativity not reducible to physics,"Kauffman (2019), A World Beyond Physics",2019,YES,"Oxford University Press, real",Stable.
S5-036,21,Constructive-developmental theory / orders of consciousness,"Kegan (1982; 1994)",1982,YES,Foundational; real,Stable.
S5-037,21,91%+ of developmental psych participants are WEIRD,"Nielsen et al. (2023)",2023,PARTIAL,"WEIRD-sample critique is real (orig. Nielsen et al. 2017 J Exp Child Psych ~92%); a 2023 restatement plausible but exact 2023 cite not confirmed this pass",MEDIUM RISK. The 92% WEIRD figure traces to Nielsen et al. 2017. Confirm whether a 2023 source restates it or whether year should be 2017.
S5-038,21,Development is non-linear / dynamic skill theory,"Fischer; Mascolo & Bidell (2020)",2020,UNVERIFIED-ONLINE,"Dynamic Skill Theory (Fischer) real; exact 2020 Mascolo & Bidell cite not confirmed",LOW-MEDIUM RISK. Confirm 2020 chapter/edition.
S5-039,21,STAGES model extends Cook-Greuter to twelve stages,"O'Fallon (2020)",2020,UNVERIFIED-ONLINE,"STAGES model (Terri O'Fallon) real; ~36000 sentence-completion figure not re-verified",LOW RISK. Confirm exact 2020 publication.
S5-040,21,CLAS most psychometrically rigorous developmental assessment,"Dawson, Computerized Lectical Assessment System",,UNVERIFIED-ONLINE,"Theo Dawson / Lectica CLAS is real; 50000+ assessments figure not re-verified",LOW RISK.
S5-041,22,Percolation threshold as phase transition in networks,"(network science standard)",,YES,Standard result; not a contested cite,Stable.
S5-042,22,Higher-order interactions need simplicial complexes,"Battiston et al. (2021)",2021,YES,"Nature Physics, see S5-023",Stable.
S5-043,22,Dynamics on higher-order structures differ from graphs,"Boccaletti et al. (2023)",2023,YES,"'The structure and dynamics of networks with higher order interactions' Physics Reports 1018 (2023), real",CURRENCY ADD: now complemented by Nature Reviews Physics (2025) 'Collective dynamics on higher-order networks' (doi 10.1038/s42254-025-00916-3) -- more current review to cite alongside.
S5-044,22,Scale-free networks rigorous open-access text,"Barabasi (2016), Network Science",2016,YES,"Cambridge UP / open access networksciencebook.com, real",Stable.
S5-045,23,Peirce triadic sign / interpretant,"Peirce (Collected Papers)",,YES,Foundational; real,Stable.
S5-046,23,Uexkull Umwelt,"von Uexkull",1934,YES,Foundational; real,Stable.
S5-047,23,Active inference formalizes Peircean abduction (interpretant = Bayesian posterior),"Pietarinen & Beni (2021), 'Active Inference and Abduction'",2021,YES,"Biosemiotics 14(2):499-517, Aug 2021. REAL. Won 2021 Biosemiotic Achievement Award (confirmed, Biosemiotics 2022 award notice).",Accurate including the award claim. Stable.
S5-048,23,Molecular semiosis below cellular level,"Deacon (2021, 2023)",2021,UNVERIFIED-ONLINE,"Terrence Deacon work on constraint/semiosis real; exact 2021/2023 cites not confirmed",MEDIUM RISK. Confirm specific Deacon 2021 and 2023 titles/venues.
S5-049,23,Neurosemiotics as biosemiotics-neuroscience bridge,"Kull & Favareau (2022)",2022,UNVERIFIED-ONLINE,"Kull & Favareau are real biosemioticians; exact 2022 'neurosemiotics' cite not confirmed",MEDIUM RISK. Confirm venue/title.
S5-050,23,Code biology: organic codes as semiosis without interpretation,"Barbieri (2025)",2025,UNVERIFIED-ONLINE,"Marcello Barbieri code biology real and ongoing; exact 2025 cite not confirmed",MEDIUM RISK. Confirm 2025 publication.
S5-051,24,Relational ontology / braiding sweetgrass,"Kimmerer (2013); Yunkaporta (2019), Sand Talk",2013,YES,"Both real, widely cited",Stable.
S5-052,24,Two-Eyed Seeing / Etuaptmumk,"Bartlett et al. (2012)",2012,YES,"Bartlett, Marshall & Marshall, J Environ Studies Sci, real",Stable.
S5-053,24,Caretaking relations as ethical foundation,"TallBear (2019)",2019,UNVERIFIED-ONLINE,"Kim TallBear caretaking-relations work real; exact 2019 cite not confirmed",LOW-MEDIUM RISK.
S5-054,24,Indigenous climate justice / kinship obligations,"Whyte (2020)",2020,UNVERIFIED-ONLINE,"Kyle Whyte real and prolific; exact 2020 cite not confirmed",LOW-MEDIUM RISK.
S5-055,24,Western science categories reproduce colonial relations,"Liboiron (2021), Pollution is Colonialism",2021,YES,"Duke University Press, real",Stable.
S5-056,24,Gift economy of the natural world,"Kimmerer (2024), The Serviceberry",2024,YES,"Scribner / Penguin 2024. REAL. NYT bestseller.",Accurate. Stable.
S5-057,25,Mycorrhizal networks: trees exchange resources via fungal threads,"Simard et al.",1997,YES,"Simard 1997 Nature carbon-transfer paper real; underlying biology not in dispute",Stable for the biology; the 'Wood Wide Web' narrative is what's contested (see S5-058).
S5-058,25,Karst et al. challenged Wood Wide Web / CMN cooperative-sharing claims,"Karst, Jones & Hoeksema (2023)",2023,YES,"Nature Ecology & Evolution 7:501-511, 2023. REAL. Exact title: 'Positive citation bias and overinterpreted results lead to misinformation on common mycorrhizal networks in forests.'",CURRENCY MOVEMENT: Simard et al. published a formal REBUTTAL 21 Jan 2025: 'Response to questions about common mycorrhizal networks' (Frontiers in Forests and Global Change, ffgc.2024.1512518). Also Robinson et al. 2023 'Belowground carbon transfer... Facts not fantasy.' Debate ACTIVE; v1's 'contested, not settled' stance still correct and now better-supported.
S5-059,16,Spirit of the gift / obligation moves forward,"Hyde, The Gift",1983,YES,Foundational; real,Stable.
S5-060,6,Panarchy adaptive cycle as non-linear succession,"Gunderson & Holling (2002), Panarchy",2002,YES,"Island Press, real",Stable.
